day,date,Source,temp
1,2019-10-20,NOAA,27.28
2,2019-10-21,NOAA,27.37
2,2019-10-21,NOAA,27.36
3,2019-10-22,NOAA,27.65
3,2019-10-22,NOAA,27.64
4,2019-10-23,NOAA,27.78
4,2019-10-23,NOAA,27.76
5,2019-10-24,NOAA,27.73
5,2019-10-24,NOAA,27.71
6,2019-10-25,NOAA,27.68
6,2019-10-25,NOAA,27.67
7,2019-10-26,NOAA,27.81
7,2019-10-26,NOAA,27.82
8,2019-10-27,NOAA,27.74
8,2019-10-27,NOAA,27.74
9,2019-10-28,NOAA,27.85
9,2019-10-28,NOAA,27.89
10,2019-10-29,NOAA,27.92
10,2019-10-29,NOAA,27.96
11,2019-10-30,NOAA,27.9
11,2019-10-30,NOAA,27.94
12,2019-10-31,NOAA,28.04
12,2019-10-31,NOAA,28.05
13,2019-11-01,NOAA,28.03
13,2019-11-01,NOAA,28.02
14,2019-11-02,NOAA,28.02
14,2019-11-02,NOAA,28.03
15,2019-11-03,NOAA,27.96
15,2019-11-03,NOAA,27.97
16,2019-11-04,NOAA,27.99
16,2019-11-04,NOAA,28
17,2019-11-05,NOAA,28.02
17,2019-11-05,NOAA,28.01
18,2019-11-06,NOAA,27.98
18,2019-11-06,NOAA,27.98
19,2019-11-07,NOAA,28.02
19,2019-11-07,NOAA,28.01
20,2019-11-08,NOAA,28.1
20,2019-11-08,NOAA,28.07
21,2019-11-09,NOAA,28.21
21,2019-11-09,NOAA,28.18
22,2019-11-10,NOAA,28.25
22,2019-11-10,NOAA,28.2
23,2019-11-11,NOAA,28.13
23,2019-11-11,NOAA,28.1
24,2019-11-12,NOAA,27.96
24,2019-11-12,NOAA,27.95
25,2019-11-13,NOAA,27.95
25,2019-11-13,NOAA,27.93
26,2019-11-14,NOAA,27.88
26,2019-11-14,NOAA,27.89
27,2019-11-15,NOAA,27.89
27,2019-11-15,NOAA,27.88
28,2019-11-16,NOAA,27.62
28,2019-11-16,NOAA,27.59
29,2019-11-17,NOAA,27.7
29,2019-11-17,NOAA,27.72
30,2019-11-18,NOAA,27.76
30,2019-11-18,NOAA,27.79
31,2019-11-19,NOAA,28.17
31,2019-11-19,NOAA,28.16
32,2019-11-20,NOAA,27.98
32,2019-11-20,NOAA,28.01
33,2019-11-21,NOAA,28.01
33,2019-11-21,NOAA,28.03
34,2019-11-22,NOAA,28.14
34,2019-11-22,NOAA,28.12
35,2019-11-23,NOAA,28.21
35,2019-11-23,NOAA,28.22
36,2019-11-24,NOAA,28.26
36,2019-11-24,NOAA,28.28
37,2019-11-25,NOAA,27.99
37,2019-11-25,NOAA,27.99
38,2019-11-26,NOAA,27.94
38,2019-11-26,NOAA,27.94
39,2019-11-27,NOAA,28.05
39,2019-11-27,NOAA,28.03
40,2019-11-28,NOAA,27.99
40,2019-11-28,NOAA,27.97
41,2019-11-29,NOAA,27.74
41,2019-11-29,NOAA,27.71
42,2019-11-30,NOAA,27.77
42,2019-11-30,NOAA,27.74
43,2019-12-01,NOAA,28.13
43,2019-12-01,NOAA,28.13
44,2019-12-02,NOAA,27.99
44,2019-12-02,NOAA,28.01
45,2019-12-03,NOAA,27.79
45,2019-12-03,NOAA,27.83
46,2019-12-04,NOAA,28.23
46,2019-12-04,NOAA,28.22
47,2019-12-05,NOAA,28.41
47,2019-12-05,NOAA,28.39
48,2019-12-06,NOAA,28.51
48,2019-12-06,NOAA,28.53
49,2019-12-07,NOAA,28.49
49,2019-12-07,NOAA,28.5
50,2019-12-08,NOAA,28.57
50,2019-12-08,NOAA,28.56
51,2019-12-09,NOAA,28.72
51,2019-12-09,NOAA,28.73
52,2019-12-10,NOAA,28.5
52,2019-12-10,NOAA,28.52
53,2019-12-11,NOAA,28.49
53,2019-12-11,NOAA,28.5
54,2019-12-12,NOAA,28.47
54,2019-12-12,NOAA,28.48
55,2019-12-13,NOAA,28.68
55,2019-12-13,NOAA,28.68
56,2019-12-14,NOAA,28.68
56,2019-12-14,NOAA,28.7
57,2019-12-15,NOAA,28.81
57,2019-12-15,NOAA,28.82
58,2019-12-16,NOAA,29.04
58,2019-12-16,NOAA,29.05
59,2019-12-17,NOAA,28.95
59,2019-12-17,NOAA,28.97
60,2019-12-18,NOAA,28.69
60,2019-12-18,NOAA,28.7
61,2019-12-19,NOAA,28.77
61,2019-12-19,NOAA,28.77
62,2019-12-20,NOAA,28.78
62,2019-12-20,NOAA,28.79
63,2019-12-21,NOAA,28.6
63,2019-12-21,NOAA,28.6
64,2019-12-22,NOAA,28.53
64,2019-12-22,NOAA,28.53
65,2019-12-23,NOAA,28.49
65,2019-12-23,NOAA,28.5
66,2019-12-24,NOAA,28.53
66,2019-12-24,NOAA,28.53
67,2019-12-25,NOAA,28.42
67,2019-12-25,NOAA,28.4
68,2019-12-26,NOAA,28.58
68,2019-12-26,NOAA,28.59
69,2019-12-27,NOAA,28.66
69,2019-12-27,NOAA,28.66
70,2019-12-28,NOAA,28.51
70,2019-12-28,NOAA,28.51
71,2019-12-29,NOAA,28.46
71,2019-12-29,NOAA,28.46
72,2019-12-30,NOAA,28.22
72,2019-12-30,NOAA,28.22
73,2019-12-31,NOAA,28.14
73,2019-12-31,NOAA,28.17
74,2020-01-01,NOAA,28.17
74,2020-01-01,NOAA,28.17
75,2020-01-02,NOAA,28.06
75,2020-01-02,NOAA,28.05
76,2020-01-03,NOAA,28.06
76,2020-01-03,NOAA,28.07
77,2020-01-04,NOAA,28.37
77,2020-01-04,NOAA,28.36
78,2020-01-05,NOAA,28.47
78,2020-01-05,NOAA,28.45
79,2020-01-06,NOAA,28.56
79,2020-01-06,NOAA,28.56
80,2020-01-07,NOAA,28.68
80,2020-01-07,NOAA,28.65
81,2020-01-08,NOAA,28.59
81,2020-01-08,NOAA,28.57
82,2020-01-09,NOAA,28.63
82,2020-01-09,NOAA,28.61
83,2020-01-10,NOAA,28.61
83,2020-01-10,NOAA,28.6
84,2020-01-11,NOAA,28.74
84,2020-01-11,NOAA,28.73
85,2020-01-12,NOAA,28.8
85,2020-01-12,NOAA,28.79
86,2020-01-13,NOAA,28.75
86,2020-01-13,NOAA,28.73
87,2020-01-14,NOAA,28.74
87,2020-01-14,NOAA,28.73
88,2020-01-15,NOAA,28.65
88,2020-01-15,NOAA,28.65
89,2020-01-16,NOAA,28.23
89,2020-01-16,NOAA,28.25
90,2020-01-17,NOAA,27.84
90,2020-01-17,NOAA,27.82
91,2020-01-18,NOAA,27.69
91,2020-01-18,NOAA,27.7
92,2020-01-19,NOAA,27.6
92,2020-01-19,NOAA,27.6
93,2020-01-20,NOAA,27.45
93,2020-01-20,NOAA,27.47
94,2020-01-21,NOAA,27.3
94,2020-01-21,NOAA,27.34
95,2020-01-22,NOAA,27.37
95,2020-01-22,NOAA,27.41
96,2020-01-23,NOAA,27.44
96,2020-01-23,NOAA,27.49
97,2020-01-24,NOAA,27.46
97,2020-01-24,NOAA,27.49
98,2020-01-25,NOAA,27.46
98,2020-01-25,NOAA,27.5
99,2020-01-26,NOAA,26.85
99,2020-01-26,NOAA,26.87
100,2020-01-27,NOAA,26.99
100,2020-01-27,NOAA,27.01
101,2020-01-28,NOAA,26.87
101,2020-01-28,NOAA,26.89
102,2020-01-29,NOAA,26.95
102,2020-01-29,NOAA,26.93
103,2020-01-30,NOAA,27.32
103,2020-01-30,NOAA,27.32
104,2020-01-31,NOAA,27.35
104,2020-01-31,NOAA,27.37
105,2020-02-01,NOAA,27.47
105,2020-02-01,NOAA,27.5
106,2020-02-02,NOAA,27.84
106,2020-02-02,NOAA,27.85
107,2020-02-03,NOAA,27.68
107,2020-02-03,NOAA,27.69
108,2020-02-04,NOAA,27.69
108,2020-02-04,NOAA,27.7
109,2020-02-05,NOAA,27.77
109,2020-02-05,NOAA,27.76
110,2020-02-06,NOAA,27.99
110,2020-02-06,NOAA,27.99
111,2020-02-07,NOAA,27.9
111,2020-02-07,NOAA,27.89
112,2020-02-08,NOAA,27.97
112,2020-02-08,NOAA,27.95
113,2020-02-09,NOAA,27.9
113,2020-02-09,NOAA,27.9
114,2020-02-10,NOAA,27.95
114,2020-02-10,NOAA,27.95
115,2020-02-11,NOAA,28.3
115,2020-02-11,NOAA,28.31
116,2020-02-12,NOAA,28.35
116,2020-02-12,NOAA,28.35
117,2020-02-13,NOAA,28.44
117,2020-02-13,NOAA,28.42
118,2020-02-14,NOAA,28.57
118,2020-02-14,NOAA,28.55
119,2020-02-15,NOAA,28.5
119,2020-02-15,NOAA,28.48
120,2020-02-16,NOAA,28.56
120,2020-02-16,NOAA,28.54
121,2020-02-17,NOAA,28.54
121,2020-02-17,NOAA,28.52
122,2020-02-18,NOAA,28.54
122,2020-02-18,NOAA,28.52
123,2020-02-19,NOAA,28.76
123,2020-02-19,NOAA,28.76
124,2020-02-20,NOAA,28.81
124,2020-02-20,NOAA,28.82
125,2020-02-21,NOAA,28.77
125,2020-02-21,NOAA,28.78
126,2020-02-22,NOAA,28.98
126,2020-02-22,NOAA,28.97
127,2020-02-23,NOAA,29.16
127,2020-02-23,NOAA,29.16
128,2020-02-24,NOAA,29.13
128,2020-02-24,NOAA,29.12
129,2020-02-25,NOAA,29.06
129,2020-02-25,NOAA,29.07
130,2020-02-26,NOAA,29.09
130,2020-02-26,NOAA,29.08
131,2020-02-27,NOAA,29.21
131,2020-02-27,NOAA,29.22
132,2020-02-28,NOAA,29.51
132,2020-02-28,NOAA,29.54
133,2020-02-29,NOAA,29.75
133,2020-02-29,NOAA,29.74
134,2020-03-01,NOAA,29.89
134,2020-03-01,NOAA,29.9
135,2020-03-02,NOAA,29.78
135,2020-03-02,NOAA,29.79
136,2020-03-03,NOAA,29.69
136,2020-03-03,NOAA,29.7
137,2020-03-04,NOAA,29.73
137,2020-03-04,NOAA,29.74
138,2020-03-05,NOAA,29.79
138,2020-03-05,NOAA,29.81
139,2020-03-06,NOAA,29.92
139,2020-03-06,NOAA,29.92
140,2020-03-07,NOAA,29.86
140,2020-03-07,NOAA,29.87
141,2020-03-08,NOAA,29.73
141,2020-03-08,NOAA,29.73
142,2020-03-09,NOAA,29.86
142,2020-03-09,NOAA,29.83
143,2020-03-10,NOAA,30.04
143,2020-03-10,NOAA,30
144,2020-03-11,NOAA,29.99
144,2020-03-11,NOAA,29.96
145,2020-03-12,NOAA,29.78
145,2020-03-12,NOAA,29.78
146,2020-03-13,NOAA,29.81
146,2020-03-13,NOAA,29.84
147,2020-03-14,NOAA,29.74
147,2020-03-14,NOAA,29.75
148,2020-03-15,NOAA,29.81
148,2020-03-15,NOAA,29.8
149,2020-03-16,NOAA,29.81
149,2020-03-16,NOAA,29.79
150,2020-03-17,NOAA,29.76
150,2020-03-17,NOAA,29.75
151,2020-03-18,NOAA,29.83
151,2020-03-18,NOAA,29.86
152,2020-03-19,NOAA,30.09
152,2020-03-19,NOAA,30.05
153,2020-03-20,NOAA,30.42
153,2020-03-20,NOAA,30.38
